iter	RMSE
0	865265.0147
1	832493.2379
2	801317.5554
3	772814.4762
4	743957.8807
5	717064.9271
6	693991.4229
7	670270.4027
8	647384.9888
9	626942.9853
10	607632.7245
11	588668.9985
12	571092.3035
13	554825.8936
14	539366.2923
15	524267.5414
16	510495.6923
17	497473.377
18	485423.613
19	474345.8118
20	463242.3359
21	453543.3173
22	444290.5008
23	435503.9247
24	432948.5299
25	430703.0534
26	428527.4011
27	419819.9408
28	417274.143
29	415255.3107
30	407839.9057
31	405932.3442
32	403246.9228
33	401429.6467
34	394171.6957
35	392476.8481
36	390582.0309
37	388930.3399
38	387339.6013
39	385720.4514
40	380242.1401
41	378457.1524
42	372641.6611
43	371233.5839
44	369870.0102
45	368539.814
46	362387.4039
47	361046.1378
48	359609.352
49	358416.6806
50	353070.3743
51	351938.2796
52	350823.9023
53	345573.8842
54	340880.3307
55	339855.2138
56	338814.0374
57	334378.2177
58	333429.296
59	332508.8366
60	331637.2806
61	330764.3888
62	326572.9592
63	325221.9938
64	320760.8027
65	319978.1886
66	317226.8198
67	316489.7802
68	312429.964
69	311656.1306
70	310976.2118
71	310191.3632
72	309548.0315
73	305990.5433
74	305223.2097
75	304623.3607
76	304048.269
77	303483.2881
78	302287.9994
79	298733.8464
80	297873.1861
81	294257.1414
82	291585.4477
83	291105.2457
84	290638.2156
85	289358.3039
86	288487.2086
87	285994.6064
88	285343.9782
89	284933.7383
90	284472.2283
91	281788.9486
92	279701.9208
93	279193.8682
94	276786.8708
95	274546.8373
96	272410.6754
97	270844.0222
98	269082.4271
99	268773.7603
100	267131.5032
101	265319.1229
102	265008.8065
103	264684.9311
104	264199.6434
105	262846.3498
106	262589.6882
107	261304.2522
108	260052.2192
109	258934.7033
110	257733.9474
111	256350.163
112	255387.5005
113	254081.2228
114	253882.5254
115	253568.1222
116	252430.7016
117	250921.8368
118	249742.1924
119	248378.5943
120	248080.976
121	246848.0918
122	245647.5587
123	245409.8946
124	244398.6853
125	243486.753
126	242784.4121
127	242473.1952
128	242315.4984
129	242083.4636
130	241931.9479
131	241466.5231
132	240213.2279
133	240004.4862
134	239083.9732
135	238029.9433
136	236884.5647
137	236067.9309
138	235948.1963
139	235729.8245
140	235188.8344
141	234875.0153
142	233864.4671
143	233115.5742
144	232047.8381
145	231418.7308
146	230455.5718
147	229678.7577
148	229511.8731
149	228699.6782
150	228094.3747
151	227433.6834
152	226976.9624
153	226071.844
154	225578.5986
155	225414.8042
156	224562.5748
157	224326.9164
158	223783.6336
159	222643.8884
160	221878.8868
161	221187.2821
162	220619.5448
163	220165.9193
164	219716.2841
165	219611.9881
166	219497.2455
167	218754.1841
168	218255.0732
169	217576.6649
170	217039.3013
171	216931.2013
172	216567.5887
173	216142.3166
174	215998.241
175	215560.6951
176	215063.3927
177	214528.8371
178	213885.9311
179	212952.647
180	211941.531
181	211360.7577
182	210796.7789
183	210252.0366
184	209818.3101
185	209043.4179
186	208667.8773
187	208463.9927
188	207972.8527
189	207165.5568
190	207058.6497
191	206011.4615
192	205543.7159
193	205214.2104
194	204649.4401
195	204101.4827
196	203896.4116
197	203537.1426
198	203004.294
199	202624.2248
200	202307.9246
201	201815.2584
202	201318.4225
203	200607.5912
204	200054.295
205	199499.8846
206	198851.4025
207	197982.9156
208	197686.5297
209	197063.5401
210	196401.3426
211	195986.8909
212	195564.4539
213	195276.6201
214	195068.9366
215	194280.0086
216	193733.9581
217	193546.061
218	193223.426
219	192929.0477
220	192626.0304
221	192448.0449
222	191694.7839
223	191186.0977
224	190776.7314
225	190637.7487
226	190103.1344
227	189680.5468
228	189448.1238
229	189212.9606
230	188877.3143
231	188365.9021
232	188042.4682
233	187752.6885
234	187693.0856
235	187121.2555
236	186725.5604
237	186602.4615
238	186225.289
239	185775.1329
240	185340.7776
241	185076.4094
242	184821.0591
243	184630.1427
244	184386.6928
245	183962.5153
246	183822.3756
247	183469.5186
248	182919.473
249	182547.4264
250	182216.8685
251	181794.6656
252	181624.4229
253	181114.988
254	180939.5986
255	180825.6485
256	180511.8494
257	179932.4623
258	179683.6626
259	179502.0819
260	179174.4096
261	178744.8315
262	178344.5058
263	177919.6126
264	177877.4577
265	177776.7721
266	177392.3595
267	177044.3106
268	176511.171
269	176472.0861
270	176074.856
271	176036.9677
272	175903.9398
273	175564.8774
274	175269.3492
275	174959.5412
276	174835.3901
277	174718.6402
278	174400.8628
279	174243.4441
280	174055.438
281	173823.7728
282	173693.8825
283	173243.6766
284	173000.619
285	172760.4918
286	172659.416
287	172559.0257
288	172409.9308
289	172023.5505
290	171737.9978
291	171605.7387
292	171312.8216
293	171086.7306
294	170923.9944
295	170649.1434
296	170372.8091
297	170139.5951
298	169886.993
299	169649.3608
300	169528.5527
301	169306.6109
302	169267.4458
303	168841.6422
304	168605.1663
305	168576.3584
306	168440.4486
307	168199.2063
308	168171.3396
309	167924.7828
310	167897.7695
311	167807.7641
312	167781.6039
313	167756.3064
314	167323.9559
315	167074.8231
316	166778.7843
317	166754.0458
318	166610.432
319	166517.257
320	166305.6468
321	166282.1714
322	166060.186
323	165625.5443
324	165602.7682
325	165580.7382
326	165559.4286
327	165321.6103
328	165130.9737
329	164894.8117
330	164596.3661
331	164404.7844
332	164261.301
333	164083.0164
334	163855.5602
335	163693.5805
336	163665.4124
337	163638.5291
338	163612.8598
339	163500.0641
340	163329.647
341	163193.4286
342	163175.0176
343	162868.1598
344	162613.5406
345	162348.1364
346	162245.1268
347	162157.5527
348	161873.2571
349	161619.7249
350	161440.273
351	161210.2698
352	160958.3655
353	160697.1423
354	160618.6119
355	160198.88
356	159968.708
357	159450.9004
358	159225.9278
359	159148.6514
360	158840.9876
361	158510.1279
362	158332.6395
363	157899.5022
364	157802.8956
365	157688.8738
366	157618.7088
367	157471.5294
368	157165.9199
369	157038.2043
370	156767.5153
371	156652.2044
372	156485.7858
373	156273.739
374	156179.0995
375	155959.2892
376	155656.463
377	155560.7885
378	155411.3175
379	155209.6425
380	155139.2962
381	154935.259
382	154745.9788
383	154679.6219
384	154501.6249
385	154394.7134
386	154334.8753
387	154252.2234
388	154119.4571
389	154056.5158
390	153862.3097
391	153704.4852
392	153644.1122
393	153368.7932
394	153304.5204
395	153246.6931
396	153171.06
397	153054.4145
398	152894.7193
399	152706.7486
400	152451.2629
401	152350.043
402	152173.8613
403	152114.1118
404	152055.5983
405	151926.8084
406	151771.3287
407	151629.1841
408	151293.6822
409	151117.6362
410	151038.5285
411	150962.2529
412	150901.1713
413	150805.3319
414	150790.3253
415	150734.5256
416	150720.2116
417	150588.2852
418	150419.2054
419	150221.1703
420	150027.821
421	149940.7533
422	149862.4742
423	149639.2872
424	149617.3315
425	149587.8919
426	149468.689
427	149351.083
428	149168.7851
429	149037.9503
430	148948.9491
431	148882.9199
432	148765.3141
433	148708.5164
434	148478.8364
435	148276.909
436	148032.228
437	147855.5428
438	147806.7124
439	147634.5172
440	147365.7552
441	147254.8239
442	147145.106
443	147052.535
444	146814.9008
445	146642.2391
446	146573.9018
447	146429.4774
448	146287.7422
449	146223.4652
450	146179.9551
451	146093.0737
452	146042.0626
453	145973.6863
454	145961.1867
455	145855.2083
456	145711.4962
457	145586.9259
458	145560.1231
459	145395.966
460	145293.2356
461	145226.7523
462	145040.2446
463	145028.7948
464	144840.8614
465	144797.9546
466	144621.6255
467	144597.1201
468	144473.3181
469	144363.1992
470	144254.9597
471	144150.5922
472	144075.4209
473	144034.2466
474	143936.0771
475	143794.0804
476	143688.3637
477	143556.8119
478	143447.5996
479	143349.8584
480	143327.3816
481	143248.7547
482	143064.5374
483	143002.782
484	142950.2136
485	142919.8707
486	142770.1831
487	142685.3744
488	142576.417
489	142535.3949
490	142514.2976
491	142494.8983
492	142380.5774
493	142189.7109
494	142085.8599
495	142024.6691
496	141986.3768
497	141931.3069
498	141821.1993
499	141753.211
500	141657.7468
501	141545.1606
502	141469.8414
503	141341.0511
504	141271.9536
505	141221.8398
506	141136.0331
507	141062.9438
508	141051.7913
509	140900.9513
510	140846.9278
511	140801.9039
512	140791.3833
513	140781.2295
514	140652.0338
515	140539.9692
516	140518.9506
517	140370.5809
518	140237.9585
519	139988.586
520	139960.4819
521	139905.4061
522	139795.7115
523	139630.2742
524	139525.0823
525	139389.7075
526	139308.4461
527	139180.8011
528	139055.3755
529	138834.5089
530	138755.0222
531	138632.6894
532	138520.6204
533	138446.1089
534	138358.6652
535	138161.7224
536	138097.0773
537	138034.0709
538	137906.2853
539	137869.3898
540	137797.0959
541	137697.3164
542	137610.2819
543	137551.0824
544	137450.2422
545	137289.4845
546	137175.8128
547	137120.5535
548	137027.018
549	136914.4639
550	136882.4274
551	136729.8167
552	136566.452
553	136449.561
554	136358.3485
555	136185.4438
556	135971.9683
557	135924.7148
558	135794.8995
559	135754.2985
560	135669.2852
561	135558.5354
562	135520.2639
563	135377.5418
564	135227.5742
565	135158.1483
566	135101.0826
567	134927.343
568	134860.1829
569	134831.0879
570	134742.836
571	134693.2826
572	134641.2805
573	134504.8988
574	134441.8771
575	134337.8029
576	134271.3998
577	134245.2176
578	134196.3998
579	134157.881
580	134125.5723
581	134033.3286
582	133897.7169
583	133883.6798
584	133788.9308
585	133662.6062
586	133615.6073
587	133566.0689
588	133553.2811
589	133490.3648
590	133384.1339
591	133340.1559
592	133212.0859
593	133179.6258
594	133052.9017
595	133040.44
596	132992.9228
597	132872.206
598	132817.0557
599	132790.5939
600	132723.7665
601	132701.2463
602	132638.951
603	132468.5969
604	132453.4093
605	132333.1594
606	132301.5051
607	132229.6585
608	132149.0484
609	132034.7216
610	131876.1183
611	131861.3643
612	131790.006
613	131734.0076
614	131704.0323
615	131560.3663
616	131451.9259
617	131415.8657
618	131393.6922
619	131336.8857
620	131295.1181
621	131256.9161
622	131115.2919
623	131017.0842
624	131003.0752
625	130943.5065
626	130882.2907
627	130869.2276
628	130842.0004
629	130785.2412
630	130739.7959
631	130636.8603
632	130621.6315
633	130548.3342
634	130526.3384
635	130494.1883
636	130468.8402
637	130403.9239
638	130231.6631
639	130173.6298
640	130001.1837
641	129891.8793
642	129728.5757
643	129630.6867
644	129599.3116
645	129543.7593
646	129405.1652
647	129397.991
648	129316.6311
649	129270.2131
650	129214.4537
651	129061.1345
652	129004.9133
653	128952.4745
654	128905.1946
655	128848.2269
656	128816.7385
657	128671.5434
658	128611.2051
659	128579.2691
660	128548.6201
661	128485.6413
662	128452.7166
663	128427.8864
664	128386.2464
665	128361.3578
666	128322.9545
667	128219.542
668	128152.1557
669	128013.9998
670	127961.9892
671	127851.4537
672	127757.3542
673	127729.8562
674	127621.8226
675	127574.9622
676	127446.1478
677	127404.0102
678	127363.9752
679	127270.6782
680	127244.9843
681	127124.2168
682	127100.4619
683	127074.5797
684	127014.0814
685	126876.5897
686	126838.2036
687	126790.7951
688	126767.9841
689	126750.5815
690	126709.0267
691	126669.0468
692	126617.3394
693	126531.2282
694	126453.4245
695	126412.0065
696	126317.3416
697	126258.5959
698	126218.8442
699	126106.424
700	126018.0844
701	125969.0793
702	125870.8621
703	125802.8451
704	125731.2713
705	125652.0203
706	125605.3272
707	125548.5695
708	125516.5338
709	125500.8272
710	125409.9457
711	125387.1122
712	125318.0201
713	125242.2176
714	125186.4351
715	125158.6929
716	125134.6747
717	125099.5033
718	125038.5272
719	124932.1745
720	124848.3756
721	124774.5256
722	124744.6513
723	124666.2031
724	124602.1853
725	124496.6934
726	124465.7491
727	124444.0793
728	124328.1924
729	124287.4852
730	124225.8505
731	124160.647
732	124099.1166
733	124063.2423
734	123963.3247
735	123864.9648
736	123773.5928
737	123753.8646
738	123722.2621
739	123681.1739
740	123595.9679
741	123531.4998
742	123488.2874
743	123456.881
744	123376.8808
745	123343.2037
746	123277.1635
747	123210.9032
748	123156.9749
749	123094.9415
750	123032.6178
751	123006.8824
752	122931.4715
753	122901.206
754	122869.357
755	122842.343
756	122765.5278
757	122641.6156
758	122634.3014
759	122616.8259
760	122601.9692
761	122461.308
762	122416.4671
763	122324.2141
764	122267.1098
765	122165.005
766	122131.8036
767	122098.4905
768	122052.6277
769	121996.4964
770	121902.4667
771	121789.9332
772	121764.2918
773	121708.3709
774	121679.7957
775	121579.7966
776	121552.7297
777	121504.4771
778	121438.1448
779	121390.2345
780	121345.168
781	121326.7782
782	121301.1901
783	121252.0506
784	121238.277
785	121190.5721
786	121181.7288
787	121105.2463
788	121029.9565
789	120956.2591
790	120934.6974
791	120897.5222
792	120881.6397
793	120836.8642
794	120786.5042
795	120728.8304
796	120686.4822
797	120680.3579
798	120643.1124
799	120632.9396
800	120591.5173
801	120568.1529
802	120503.6064
803	120439.6189
804	120384.5949
805	120344.8088
806	120302.9993
807	120225.6698
808	120148.3941
809	120104.0347
810	120036.0227
811	119949.7798
812	119885.7875
813	119825.263
814	119805.4852
815	119742.0621
816	119676.1048
817	119651.0141
818	119602.2406
819	119558.9042
820	119553.7845
821	119501.1346
822	119482.7077
823	119446.7754
824	119407.6471
825	119356.4878
826	119315.2325
827	119259.3254
828	119219.2627
829	119180.7375
830	119138.8522
831	119060.195
832	119043.4114
833	119039.9827
834	119000.4143
835	118948.4365
836	118849.7563
837	118833.0324
838	118798.4871
839	118708.1188
840	118638.2717
841	118617.9345
842	118596.5712
843	118543.8975
844	118507.5763
845	118465.9283
846	118420.0516
847	118356.9269
848	118325.3944
849	118300.0578
850	118256.5307
851	118237.6994
852	118209.5439
853	118206.7067
854	118123.5875
855	118086.5712
856	118052.9034
857	118026.0409
858	117990.8246
859	117954.2994
860	117922.8028
861	117852.7137
862	117783.8005
863	117771.9991
864	117746.3536
865	117657.9549
866	117638.6626
867	117588.6261
868	117570.3362
869	117534.2795
870	117487.4481
871	117438.0872
872	117346.5114
873	117290.6088
874	117250.3391
875	117195.2378
876	117150.7822
877	117115.4506
878	117065.2589
879	117017.764
880	116973.324
881	116938.8263
882	116909.3528
883	116857.3915
884	116804.7119
885	116770.1487
886	116714.313
887	116668.7609
888	116649.3373
889	116622.3467
890	116595.4089
891	116567.0478
892	116483.2528
893	116461.5771
894	116426.454
895	116355.5426
896	116335.4717
897	116287.4402
898	116227.935
899	116213.7831
900	116188.5264
901	116169.6243
902	116137.896
903	116101.833
904	116065.2062
905	116008.5766
906	115965.6861
907	115916.7828
908	115843.0407
909	115811.8006
910	115766.839
911	115700.2562
912	115642.1758
913	115595.2234
914	115501.5812
915	115457.2398
916	115398.0595
917	115352.6549
918	115313.2312
919	115246.6585
920	115212.2844
921	115187.4716
922	115141.3442
923	115102.611
924	115062.016
925	115029.0701
926	114948.2509
927	114910.3988
928	114861.1948
929	114785.1566
930	114778.7467
931	114752.8594
932	114717.334
933	114696.3311
934	114645.19
935	114631.3452
936	114596.1676
937	114566.1964
938	114528.91
939	114478.8987
940	114472.2015
941	114440.5451
942	114373.835
943	114357.313
944	114333.7
945	114293.0462
946	114241.6066
947	114194.1227
948	114145.569
949	114119.0864
950	114058.2021
951	114031.3688
952	113988.552
953	113962.2397
954	113950.8006
955	113919.7114
956	113874.4753
957	113851.9886
958	113827.2318
959	113789.9243
960	113749.2836
961	113705.2049
962	113695.5022
963	113661.3032
964	113598.17
965	113579.9016
966	113546.7191
967	113503.6104
968	113465.7007
969	113426.2422
970	113378.8854
971	113349.6945
972	113328.3826
973	113292.7196
974	113249.8624
975	113231.8587
976	113161.7974
977	113093.4592
978	113081.9434
979	113032.4756
980	112981.0107
981	112941.921
982	112912.1372
983	112873.2824
984	112831.6997
985	112812.7134
986	112775.0074
987	112744.9436
988	112730.7829
989	112702.8588
990	112639.9377
991	112625.8542
992	112571.66
993	112536.7495
994	112498.3908
995	112476.908
996	112424.4912
997	112389.1977
998	112377.3411
999	112349.8061
