iter	Passed	Remaining
0	15	15060
1	17	8764
2	21	7037
3	23	5975
4	26	5237
5	29	4909
6	31	4521
7	36	4512
8	38	4244
9	42	4185
10	44	4001
11	47	3934
12	50	3868
13	54	3851
14	56	3742
15	59	3647
16	62	3614
17	65	3573
18	68	3562
19	71	3484
20	74	3487
21	77	3426
22	81	3469
23	84	3436
24	89	3472
25	91	3424
26	95	3454
27	98	3424
28	102	3426
29	104	3381
30	109	3427
31	111	3383
32	116	3417
33	118	3374
34	122	3385
35	125	3358
36	130	3400
37	137	3492
38	141	3494
39	144	3458
40	147	3441
41	149	3416
42	151	3379
43	155	3382
44	157	3348
45	160	3337
46	163	3310
47	164	3267
48	168	3263
49	170	3238
50	173	3230
51	176	3212
52	178	3184
53	182	3189
54	184	3166
55	187	3167
56	190	3145
57	192	3124
58	195	3120
59	197	3097
60	201	3103
61	203	3082
62	207	3079
63	209	3064
64	211	3045
65	215	3048
66	217	3029
67	219	3011
68	222	3007
69	225	2992
70	228	2984
71	230	2972
72	234	2974
73	236	2959
74	239	2959
75	242	2944
76	243	2923
77	261	3090
78	263	3072
79	267	3072
80	269	3056
81	271	3044
82	275	3041
83	277	3024
84	281	3029
85	283	3013
86	287	3013
87	289	3001
88	292	2996
89	295	2984
90	297	2969
91	301	2971
92	303	2958
93	307	2960
94	309	2948
95	313	2953
96	315	2940
97	319	2939
98	322	2931
99	323	2910
100	327	2913
101	330	2905
102	332	2897
103	335	2893
104	339	2894
105	342	2886
106	344	2873
107	348	2875
108	350	2865
109	354	2871
110	357	2859
111	360	2859
112	362	2847
113	367	2855
114	369	2844
115	373	2848
116	376	2841
117	381	2852
118	387	2869
119	390	2862
120	394	2867
121	397	2860
122	401	2866
123	404	2856
124	408	2859
125	411	2854
126	415	2855
127	419	2858
128	422	2851
129	427	2860
130	433	2874
131	436	2871
132	442	2887
133	447	2893
134	452	2900
135	455	2894
136	459	2897
137	462	2890
138	466	2892
139	469	2883
140	475	2894
141	480	2900
142	482	2893
143	487	2898
144	490	2892
145	494	2890
146	496	2881
147	500	2882
148	503	2873
149	507	2874
150	509	2865
151	513	2867
152	520	2883
153	524	2879
154	527	2875
155	529	2865
156	533	2866
157	535	2856
158	539	2854
159	541	2844
160	546	2847
161	548	2838
162	552	2838
163	554	2829
164	558	2825
165	561	2819
166	563	2810
167	566	2806
168	568	2797
169	572	2796
170	575	2791
171	581	2799
172	586	2802
173	588	2795
174	593	2798
175	596	2791
176	600	2790
177	602	2782
178	606	2781
179	609	2775
180	612	2773
181	615	2767
182	619	2765
183	622	2759
184	626	2758
185	629	2753
186	632	2751
187	636	2747
188	640	2748
189	646	2754
190	653	2769
191	658	2773
192	661	2766
193	664	2762
194	667	2757
195	672	2757
196	674	2750
197	678	2747
198	682	2747
199	688	2752
200	692	2751
201	695	2747
202	700	2750
203	704	2749
204	707	2743
205	711	2743
206	715	2740
207	722	2749
208	727	2753
209	733	2758
210	737	2759
211	745	2769
212	749	2768
213	753	2768
214	756	2760
215	761	2763
216	765	2761
217	768	2755
218	772	2754
219	775	2747
220	778	2744
221	780	2736
222	783	2730
223	786	2724
224	789	2720
225	792	2713
226	794	2706
227	798	2703
228	800	2696
229	804	2694
230	807	2688
231	811	2685
232	813	2679
233	818	2679
234	820	2672
235	824	2669
236	827	2662
237	830	2659
238	833	2654
239	837	2652
240	840	2645
241	843	2642
242	846	2636
243	848	2629
244	852	2627
245	854	2620
246	858	2617
247	861	2611
248	865	2609
249	867	2603
250	871	2600
251	874	2594
252	877	2592
253	880	2586
254	884	2583
255	886	2577
256	890	2575
257	893	2570
258	898	2569
259	900	2564
260	904	2561
261	907	2556
262	911	2553
263	913	2547
264	917	2543
265	919	2538
266	923	2536
267	926	2530
268	930	2528
269	932	2522
270	937	2520
271	940	2516
272	944	2514
273	946	2508
274	949	2504
275	953	2500
276	955	2492
277	958	2488
278	961	2484
279	965	2482
280	970	2483
281	974	2481
282	979	2480
283	984	2483
284	987	2477
285	992	2476
286	994	2470
287	997	2466
288	1000	2461
289	1004	2459
290	1006	2452
291	1010	2449
292	1012	2444
293	1016	2440
294	1019	2436
295	1022	2432
296	1025	2427
297	1028	2422
298	1031	2418
299	1034	2412
300	1037	2409
301	1040	2403
302	1043	2400
303	1046	2395
304	1050	2393
305	1053	2388
